trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.6570468198150567}",20,9,14.267197838640303,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.6505090947233165}",25,12,3.4039642436574837,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.2, 'e': 0.6440364210831414}",20,2,-18.198307789385893,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.2, 'e': 0.6376281516217733}",30,9,-36.80887970775227,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
46,False,"{'a': 0.2, 'e': 0.631283645506926}",20,7,11.294032526410305,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.6250022682827008}",25,0,-14.232106610157022,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.2, 'e': 0.6187833918061408}",35,0,-159.27911693397857,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
49,False,"{'a': 0.2, 'e': 0.6126263941844161}",30,5,-77.20906761940391,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",1
50,False,"{'a': 0.2, 'e': 0.6065306597126334}",20,1,-14.12170182774256,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.6004955788122659}",25,0,-94.22744231646182,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
52,False,"{'a': 0.2, 'e': 0.5945205479701944}",20,8,-21.573274573312617,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.5886049696783552}",20,0,-36.98876458136202,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.5827482523739896}",20,0,-24.458720267480277,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.2, 'e': 0.5769498103804866}",30,7,-59.37619533139255,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.2, 'e': 0.5712090638488149}",30,0,-50.56936945417418,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.5655254386995371}",25,0,-103.54338602877839,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
58,False,"{'a': 0.2, 'e': 0.559898366565402}",25,9,-43.91867854055187,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
59,False,"{'a': 0.2, 'e': 0.5543272847345071}",20,10,-44.68887868329676,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
60,False,"{'a': 0.2, 'e': 0.5488116360940265}",20,0,-83.80594247812957,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.5433508690744998}",30,3,-186.84460240304767,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 4}",1
62,False,"{'a': 0.2, 'e': 0.5379444375946745}",20,6,-59.056914436175134,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
63,False,"{'a': 0.2, 'e': 0.5325918010068972}",30,8,-25.604498819679364,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.2, 'e': 0.5272924240430485}",20,0,-2.5008324122473553,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.2, 'e': 0.522045776761016}",20,0,-77.41824891336489,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
66,False,"{'a': 0.2, 'e': 0.5168513344916992}",20,7,15.926590970305059,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.5117085777865424}",20,0,-57.17241959040707,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.2, 'e': 0.5066169923655895}",30,1,18.389082904842972,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.5015760690660555}",25,14,-45.29472449455301,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.2, 'e': 0.49658530379140947}",35,12,-19.50097156209941,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.2, 'e': 0.4916441974609651}",25,16,-23.541260556076704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.2, 'e': 0.4867522559599717}",25,14,-1.4486080534373202,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.48190899009020244}",30,7,-39.000413322970466,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 0}",1
74,False,"{'a': 0.2, 'e': 0.4771139155210344}",20,6,7.161348806894949,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.4723665527410147}",20,9,-25.311844057507674,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.46766642700990924}",25,7,8.848475530248276,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.46301306831122807}",35,23,-38.60322600983398,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.2, 'e': 0.4584060113052235}",20,0,-82.81620107389361,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
79,False,"{'a': 0.2, 'e': 0.45384479528235583}",20,0,-40.81320007144925,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
80,False,"{'a': 0.2, 'e': 0.44932896411722156}",25,15,-34.71740498835198,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.2, 'e': 0.4448580662229411}",20,0,-31.636535146890367,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.2, 'e': 0.44043165450599925}",20,2,-14.816568834218385,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.2, 'e': 0.43604928632153556}",30,8,-0.2351092880506538,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.43171052342907973}",25,18,11.316389720300549,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.4274149319487267}",25,16,-8.724608587975688,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.4231620823177488}",20,0,-6.21052496919385,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.418951549247639}",20,4,-30.562988310152516,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.2, 'e': 0.4147829116815814}",20,11,-38.43638085992893,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.2, 'e': 0.4106557527523455}",25,16,16.0974844013575,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.4065696597405991}",20,0,-263.61116171753594,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 6}",0
91,False,"{'a': 0.2, 'e': 0.40252422403363597}",25,9,-18.896815207439534,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.39851904108451414}",20,14,10.271602681937072,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.3945537103716011}",20,6,8.105394985103592,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.3906278353585211}",20,11,1.9769604450258742,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.3867410234545012}",30,17,-5.939776464694538,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.38289288597511206}",20,0,21.049013366453075,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.37908303810339883}",30,20,5.22346850825014,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.37531109885139957}",35,15,-40.87466978340551,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
99,False,"{'a': 0.2, 'e': 0.3715766910220457}",20,5,-22.047151470993487,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
100,False,"{'a': 0.2, 'e': 0.36787944117144233}",20,0,-13.546115289236921,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.2, 'e': 0.3642189795715233}",20,0,-32.18161378738406,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
102,False,"{'a': 0.2, 'e': 0.3605949401730783}",20,13,-4.495417670355105,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.3570069605691474}",20,0,14.642405212402906,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.35345468195878016}",25,15,-58.21534610838134,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
105,False,"{'a': 0.2, 'e': 0.3499377491111553}",20,6,12.460839116655425,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.3464558103300574}",20,0,-23.987197996167254,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.2, 'e': 0.34300851741870664}",30,19,21.730099466113796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.3395955256449391}",20,6,1.0008636420442993,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.33621649370673334}",25,8,-19.016337676127666,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.33287108369807955}",25,0,-33.76765523393507,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
111,False,"{'a': 0.2, 'e': 0.32955896107518906}",20,3,-33.69005006126103,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
112,False,"{'a': 0.2, 'e': 0.32627979462303947}",20,12,15.589586717454587,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.3230332564222529}",25,3,23.537476968606956,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.31981902181630384}",25,13,-40.768747364951146,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.2, 'e': 0.31663676937905316}",20,10,-43.23478181711479,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
116,False,"{'a': 0.2, 'e': 0.3134861808826053}",25,8,-8.536670980421887,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.31036694126548503}",25,7,-33.40445222891447,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.2, 'e': 0.30727873860113125}",30,0,-147.47247860211758,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
119,False,"{'a': 0.2, 'e': 0.3042212640667041}",20,0,13.73948176658789,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.30119421191220214}",25,15,17.30064269158876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.2981972794298874}",20,11,16.55607620647196,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.2952301669240142}",20,0,-12.76171041032809,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.2, 'e': 0.2922925776808594}",25,9,21.19469116885214,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.2893842179390506}",20,0,-4.8302132344668145,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.2, 'e': 0.2865047968601901}",25,1,20.789480048623684,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.2836540264997704}",20,0,2.0903467151361976,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.2, 'e': 0.2808316217783798}",25,13,11.293959787437021,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.27803730045319414}",30,0,-69.82923500737523,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
129,False,"{'a': 0.2, 'e': 0.27527078308975234}",25,7,1.1663348992949953,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.2725317930340126}",20,9,-15.520364642173073,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.2698200563846868}",25,0,-13.378861677229809,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.2, 'e': 0.26713530196585034}",25,7,-11.333800086962611,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.2, 'e': 0.26447726129982396}",25,8,8.802441004161853,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.261845668580326}",30,15,-0.8094449635640577,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.2592402606458915}",30,14,28.30937327466267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.2566607769535559}",35,5,7.7283627038282825,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.25410695955280027}",20,6,25.42025132905924,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.25157855305975646}",20,3,-13.072767471986559,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.24907530463166816}",20,0,28.35719050324796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.2, 'e': 0.24659696394160643}",35,0,-7.675499515914371,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
141,False,"{'a': 0.2, 'e': 0.2441432831534371}",20,0,28.20967897341684,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.2, 'e': 0.24171401689703645}",20,11,14.851020882357883,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.23930892224375455}",20,0,7.227668737197288,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.2, 'e': 0.23692775868212176}",25,6,-11.663589279430186,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.2, 'e': 0.23457028809379765}",20,0,25.01534727809495,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.2, 'e': 0.23223627472975883}",20,2,18.384277115938875,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.22992548518672384}",30,12,-2.3521081095558065,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22763768838381274}",30,18,12.349154789720174,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.22537265553943872}",30,18,17.3311123427273,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.22313016014842982}",20,9,6.270827522201794,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.2209099779593782}",20,8,11.60310658144832,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.21871188695221475}",20,2,26.670800528412915,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.21653566731600707}",20,6,-2.4177594562454683,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.21438110142697794}",25,7,-27.856318068966747,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.2, 'e': 0.21224797382674304}",25,11,18.444044059722714,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.21013607120076472}",30,18,1.8426911781431412,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.20804518235702046}",20,3,-28.786648256026336,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.2, 'e': 0.20597509820488344}",30,16,14.531925668196978,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.20392561173421342}",25,15,16.09860809393494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.20189651799465538}",25,16,11.933035868354146,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.1998876140751445}",20,7,12.107005367033352,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.19789869908361465}",25,4,32.16998701842909,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.19592957412690934}",35,24,20.420274315175867,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
